293 8120836 8469738 8752991
294 8196921 8763641 8902519
295 8382296 9008018 9068947
296 8701441 9403689 9007307
297 9080064 9702824 8941102
298 9387540 9861546 8778383
299 9630016 9933963 8696254
300 9741554 10006962 8607566
301 9857198 9905296 8428370
302 9823369 9659411 8168082
303 9739255 9444615 8115744
304 9587098 9187184 7968420
305 9264420 8761971 7900038
306 8937181 8479908 7895629
307 8542419 8095657 7923093
308 8123193 7779726 8042469
309 7977686 7715858 8186275
310 7765338 7673199 8348644
311 7538788 7691057 8530053
312 7557149 7860993 8701256
313 7618676 8056038 8790275
314 7735232 8300000 8970684
315 8031405 8603502 8909738
316 8374227 8860956 8885992
317 8716947 9219618 8823496
318 9006576 9448630 8819267
319 9256525 9561944 8610860
320 9445801 9540640 8478901
321 9458364 9461478 8308217
322 9505773 9280173 8123151
323 9415742 9024244 8005791
324 9239718 8774797 7879898
325 8998122 8329893 7742996
326 8627859 8062550 7828897
327 8254697 7715172 7865766
328 7865370 7485268 8004158
329 7608728 7303224 8085048
330 7437591 7258257 8229952
331 7287634 7245182 8380282
332 7280271 7455798 8527504
333 7373620 7628918 8688156
334 7441060 7916829 8789956
335 7752180 8228676 8889496
336 8063124 8575354 8825989
337 8456298 8848807 8847495
338 8824864 9194299 8690550
339 9111732 9270780 8568597
340 9290316 9340077 8338308
341 9433587 9300105 8246094
342 9377706 9137574 8077397
343 9167761 8852341 8040306
344 8966212 8448186 7848136
345 8748035 8105416 7734374
346 8568348 7841061 7696750
347 8194546 7637851 7780475
348 7905589 7347840 7894574
349 7588339 7288751 8055433
350 7415207 7260507 8265785
351 7237579 7313197 8425150
352 7235977 7408639 8574517
353 7388401 7688314 8624180
354 7504102 7857657 8827334
355 7745123 8320277 8910484
356 8041434 8602459 8966359
357 8284563 8897471 8988392
358 8502611 9041671 8945133
359 8785917 9125496 8641813
360 9099961 9175803 8469982
361 9305132 9218394 8316614
362 9290536 9030340 8099887
363 9131212 8731582 7988144
364 9015013 8546021 7889525
365 8758815 8151285 7769799
366 8518983 7843563 7717369
367 8206916 7571807 7777947
368 7924347 7455859 7892696
369 7622655 7235197 8071509
370 7371801 7232009 8264535
371 7194960 7218056 8467649
372 7198104 7500994 8625556
373 7302234 7648770 8744528
374 7502617 7922053 8794284
375 7769450 8303890 8962467
376 8009139 8639838 8922204
377 8431187 8873640 8859593
378 8787877 9145342 8759922
379 8991903 9283678 8614975
380 9221545 9260144 8394654
381 9263122 9244629 8327851
382 9285386 9049270 8127957
383 9186631 8840549 8011545
384 9071806 8551224 7837969
385 8823517 8225991 7737617
386 8442501 7788915 7793291
387 8029578 7599552 7940744
388 7653903 7387236 8169384
389 7525240 7391667 8207168
390 7388171 7262116 8311284
391 7232246 7344767 8418668
392 7230572 7559747 8710923
393 7348785 7755640 8713272
394 7460219 7906686 8849421
395 7728534 8342589 8956691
396 7981500 8553821 8994751
397 8271563 8852406 8895556
398 8761820 9107020 8714783
399 9115948 9306012 8539258
400 9271388 9299581 8407059
401 9262793 9209989 8363820
402 9179111 8988029 8182407
403 9130541 8779066 8042249
404 9089328 8686449 7886603
405 8830993 8234412 7795509
406 8501313 7902189 7784861
407 8164074 7571383 7824946
408 7705382 7271875 7964798
409 7494687 7145638 8072917
410 7411079 7242496 8180951
411 7271803 7220488 8378515
412 7285135 7498094 8560781
413 7403247 7676476 8681500
414 7573795 7994818 8802109
415 7738134 8289211 8995345
416 7981914 8573530 8906081
417 8295495 8799548 8934251
418 8711713 9123718 8748980
419 8996027 9218470 8619888
420 9172362 9241727 8409743
421 9326704 9240188 8333761
422 9339740 9051484 8100507
423 9183262 8856653 8003203
424 9002830 8520110 7885792
425 8668841 8138610 7834762
426 8379591 7765817 7772794
427 8141705 7510953 7778426
428 7761565 7245243 7970758
429 7418894 7113979 8082281
430 7279835 7126648 8289783
